Fasteners List,SUM of Count
AS 1427-M3.5x30,4
BHCS-M3x14,5
BHCS-M3x16,2
BHCS-M4x6,1
BHCS-M4x8,1
BHCS-M5x10,28
BHCS-M5x16,7
BHCS-M5x20,2
BHCS-M5x35,1
FHCS-M3x6,18
MAGNET-,4
MHCS-M5x35,1
NUT-M3,4
NUT-M5,4
PAN HEAD-M2,8
Self Tapping-M2x10,2
SHCS-M3x12,18
SHCS-M3x16,4
SHCS-M3x20,10
SHCS-M3x25,4
SHCS-M3x30,26
SHCS-M3x40,7
SHCS-M3x8,73
SHCS-M4x20,2
SHCS-M5x10,17
SHCS-M5x16,5
SHCS-M5x20,8
SHCS-M5x40,8
SHCS-M5x45,10
SHCS-M5x60,8
SPACER-M5,15
SPACER-M5x1,2
Threaded Insert-M3,80
Thumbscrew-M3,1
Grand Total,390